SoC,R0
1,0.0199226740791
0.98,0.0216851658029
0.96,0.0211833222715
0.94,0.0208127114904
0.92,0.0206711780884
0.9,0.0200529659067
0.84,0.0198268862266
0.8,0.0208347682435
0.76,0.0204269339922
0.72,0.0192042770355
0.68,0.0192897948011
0.64,0.0201671074369
0.6,0.0198594599207
0.56,0.0197833248316
0.52,0.0197516430679
0.48,0.0206866305955
0.44,0.0201451444074
0.4,0.0205173715397
0.36,0.0205526956671
0.32,0.0203753838086
0.28,0.0206643910981
0.24,0.0209879150718
0.2,0.0216530872036
0.18,0.0226685047114
0.16,0.0238937180124
0.14,0.02489497808
0.12,0.0265647401457
0.1,0.0290884364968
0.088,0.0300777323578
0.074,0.0322107060384
0.06,0.0328893544257
0.04,0.0380314565498
